"Block_id","Codblok","Codito"
194,292,10708
195,4,10504
196,20,10503
197,2,10504
198,133,10601
199,183,10602
200,180,10602
201,17,10503
202,129,10601
203,1,10504
204,329,
205,330,
206,332,
207,333,
208,334,
209,8,
210,9,
211,10,
212,11,
213,13,
214,14,
215,15,
216,16,
217,21,
218,23,
219,24,
220,31,
221,33,
222,34,
223,35,
224,36,
225,37,
226,38,
227,39,
228,40,
229,42,
230,44,
231,45,
232,46,
233,47,
234,53,
235,54,
236,55,
237,56,
238,57,
239,58,
240,59,
241,60,
242,61,
243,62,
244,63,
245,64,
246,65,
247,66,
248,67,
249,68,
250,69,
251,70,
252,71,
253,72,
254,73,
255,41,10004
256,75,
257,76,
258,77,
259,78,
260,79,
261,80,
262,82,
263,83,
264,84,
265,85,
266,86,
267,87,
268,89,
269,90,
270,91,
271,92,
272,94,
273,95,
274,96,
275,97,
276,98,
277,99,
278,100,
279,104,
280,107,
281,108,
282,109,
283,110,
284,111,
285,112,
286,113,
287,114,
288,116,
289,117,
290,119,
291,120,
292,121,
293,123,
294,125,
295,126,
296,142,
297,179,
298,181,
299,182,
300,183,
301,184,
302,185,
303,186,
304,187,
305,188,
306,189,
307,192,
308,193,
309,194,
310,195,
311,198,
312,199,
313,201,
314,202,
315,203,
316,207,
317,208,
318,209,
319,210,
320,215,
321,217,
322,218,
323,220,
324,221,
325,222,
326,223,
327,224,
328,225,
329,226,
330,227,
331,228,
332,229,
333,231,
334,232,
335,235,
336,236,
337,237,
338,238,
339,239,
340,240,
341,241,
342,242,
343,243,
344,244,
345,245,
346,247,
347,248,
348,249,
349,250,
350,255,
351,257,
352,258,
353,259,
354,261,
355,262,
356,263,
357,264,
358,269,
359,270,
360,271,
361,272,
362,273,
363,274,
364,275,
365,276,
366,277,
367,278,
368,279,
369,280,
370,281,
371,282,
372,283,
373,284,
374,285,
375,286,
376,287,
377,288,
378,289,
379,290,
380,291,
381,292,
382,293,
383,294,
384,295,
385,296,
386,297,
387,298,
388,299,
389,302,
390,303,
391,619,
392,313,
393,318,
394,319,
395,320,
396,321,
397,322,
398,323,
399,324,
400,326,
401,327,
402,329,
403,330,
404,331,
405,332,
406,333,
407,79,10206
408,336,
409,337,
410,88,10102
411,93,10205
412,80,10103
413,144,10001
414,349,
415,353,
416,50,10002
417,54,10002
418,55,10002
419,49,10002
420,145,10001
421,141,10001
422,16,10303
423,15,10303
424,,30203
425,33,10302
426,380,
427,381,
428,382,
429,384,
430,385,
431,13,10202
432,11,10803
433,12,10803
434,14,10202
435,135,10802
436,102,10201
437,107,10201
438,108,10201
439,115,10201
440,110,10201
441,111,10201
442,117,10201
443,127,10101
444,128,10101
445,126,10101
446,125,10101
447,120,10203
448,121,10203
449,118,10203
450,119,10203
451,124,10101
452,418,
453,419,
454,420,
455,421,
456,422,
457,423,
458,424,
459,425,
460,426,
461,427,
462,428,
463,429,
464,430,
465,431,
466,432,
467,433,
468,437,
469,438,
470,439,
471,443,
472,8,10801
473,134,10802
474,7,10801
475,10,10801
476,449,
477,454,
478,456,
479,459,
480,460,
481,473,
482,475,
483,476,
484,477,
485,478,
486,479,
487,482,
488,484,
489,486,
490,489,
491,499,
492,501,
493,502,
494,503,
495,504,
496,505,
497,506,
498,507,
499,510,
500,512,
501,513,
502,533,
503,534,
504,535,
505,537,
506,538,
507,542,
508,41,
509,2,
510,3,
511,4,
512,5,
513,6,
514,7,
515,8,
516,9,
517,10,
518,13,
519,14,
520,15,
521,16,
522,17,
523,18,
524,21,
525,201,10603
526,237,10604
527,227,10604
528,229,10604
529,228,10604
530,230,10604
531,232,10604
532,233,10604
533,235,10604
534,236,10604
535,241,10604
536,243,10604
537,253,10605
538,252,10605
539,50,
540,52,
541,57,
542,65,
543,66,
544,67,
545,68,
546,69,
547,70,
548,74,
549,82,
550,83,
551,88,
552,90,
553,94,
554,96,
555,99,
556,100,
557,104,
558,106,
559,21,10606
560,110,
561,111,
562,255,10712
563,120,
564,121,
565,127,
566,143,
567,144,
568,145,
569,146,
570,147,
571,148,
572,149,
573,150,
574,151,
575,153,
576,154,
577,155,
578,161,
579,167,
580,171,
581,174,
582,180,
583,0,
584,0,
585,0,
586,0,
587,0,
588,0,
589,0,
590,0,
591,0,
592,0,
593,0,
594,0,
595,0,
596,0,
597,0,
598,0,
599,0,
600,0,
601,0,
602,0,
603,0,
604,0,
605,0,
606,0,
607,0,
608,0,
609,0,
610,0,
611,0,
612,0,
613,0,
614,0,
615,0,
616,0,
617,0,
618,0,
619,0,
620,0,
621,0,
622,0,
623,0,
624,0,
625,0,
626,0,
627,0,
628,0,
629,0,
630,0,
631,0,
632,0,
633,0,
634,99,10204
635,97,10204
636,94,10204
637,95,10204
638,89,10205
639,90,10205
640,91,10205
641,81,10103
642,83,10102
643,85,10102
644,84,10102
645,86,10102
646,87,10102
647,122,10203
648,109,10201
649,114,10201
650,0,
651,0,
652,0,
653,0,
654,0,
655,0,
656,0,
657,0,
658,0,
659,0,
660,0,
661,0,
662,0,
663,0,
664,0,
665,0,
666,0,
667,0,
668,0,
669,0,
670,0,
671,0,
672,0,
673,0,
674,0,
675,0,
676,0,
677,0,
678,0,
679,0,
680,0,
681,0,
682,0,
683,0,
684,0,
685,0,
686,0,
687,0,
688,0,
689,0,
690,0,
691,0,
692,0,
693,0,
694,0,
695,0,
696,0,
697,0,
698,0,
699,0,
700,0,
701,0,
702,0,
703,0,
704,0,
705,0,
706,0,
707,0,
708,0,
709,0,
710,0,
711,0,
712,3131,
713,,
714,,
715,,
716,,
717,,
718,256,10712
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,116,10201
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,254,10711
775,18,10503
776,19,10503
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,136,10802
788,138,10802
789,139,10802
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,198,10603
813,288,10707
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,,
849,,
850,,
851,,
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,,
894,,
895,,
896,,
897,,
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,,
950,,
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,77,10206
999,78,10206
1000,65,10401
1001,82,10103
1002,66,10402
1003,51,10002
1004,52,10002
1005,53,10002
1006,48,10002
1007,96,10204
1008,143,10001
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,190,10603
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,,
1094,,
1095,,
1096,,
1097,,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,3,10504
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,142,10001
1179,140,10802
1180,75,10206
1181,73,10206
1182,76,10206
1183,56,10002
1184,131,10601
1185,,
1186,132,10601
1187,182,10602
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,
1206,,
1207,,
1208,,
1209,314,10713
1210,311,10713
1211,312,10713
1212,313,10713
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,
1254,,
1255,,
1256,,
1257,,
1258,,
1259,,
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,
1270,,
1271,,
1272,,
1273,,
1274,,
1275,,
1276,,
1277,,
1278,,
1279,,
1280,,
1281,,
1282,,
1283,,
1284,,
1285,,
1286,,
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,
1298,,
1299,,
1300,,
1301,,
1302,,
1303,,
1304,,
1305,,
1306,,
1307,,
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,,
1318,,
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,,
1343,,
1344,,
1345,,
1346,,
1347,,
1348,,
1349,,
1350,,
1351,,
1352,,
1353,,
1354,,
1355,,
1356,,
1357,,
1358,,
1359,,
1360,,
1361,,
1362,,
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,,
1370,,
1371,,
1372,,
1373,,
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,,
1381,,
1382,,
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,,
1396,,
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,,
1405,,
1406,,
1407,,
1408,,
1409,,
1410,105,10201
1411,106,10201
1412,103,10201
1413,104,10201
1414,98,10204
1415,100,10204
1416,92,10205
1417,146,10001
1418,74,10206
1419,,
1420,,
1421,,
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1468,,
1469,,
1470,,
1471,,
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,,
1484,137,10802
1485,32,10302
1486,31,10302
1487,30,10302
1488,29,10302
1489,27,10302
1490,28,10302
1491,26,10302
1492,23,10302
1493,24,10302
1494,25,10302
1495,,
1496,,
1497,,
1498,,
1499,,
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,112,10201
1507,113,10201
1508,,
1509,,
1510,,
1511,,
1512,,
1513,,
1514,,
1515,,
1516,,
1517,,
1518,,
1519,,
1520,,
1521,9,10801
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,
1536,,
1537,,
1538,,
1539,,
1540,,
1541,,
1542,,
1543,,
1544,,
1545,,
1546,,
1547,,
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,,
1558,,
1559,,
1560,,
1561,,
1562,,
1563,,
1564,,
1565,,
1566,,
1567,,
1568,,
1569,,
1570,,
1571,,
1572,,
1573,,
1574,,
1575,,
1576,,
1577,,
1578,,
1579,,
1580,,
1581,,
1582,,
1583,,
1584,,
1585,,
1586,,
1587,,
1588,,
1589,,
1590,,
1591,,
1592,,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,517,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,
1614,,
1615,,
1616,,
1617,,
1618,,
1619,,
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1626,,
1627,,
1628,,
1629,,
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,
1638,,
1639,,
1640,,
1641,,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,,
1655,,
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,
1662,,
1663,,
1664,,
1665,,
1666,,
1667,,
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,,
1684,,
1685,,
1686,,
1687,,
1688,,
1689,,
1690,,
1691,,
1692,,
1693,,
1694,,
1695,,
1696,,
1697,,
1698,,
1699,,
1700,,
1701,,
1702,,
1703,,
1704,,
1705,,
1706,,
1707,,
1708,,
1709,,
1710,,
1711,,
1712,,
1713,,
1714,,
1715,,
1716,,
1717,,
1718,,
1719,,
1720,,
1721,,
1722,,
1723,,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,,
1742,,
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,
1758,,
1759,,
1760,,
1761,,
1762,,
1763,,
1764,,
1765,,
1766,,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,,
1776,,
1777,,
1778,,
1779,,
1780,,
1781,,
1782,,
1783,,
1784,,
1785,,
1786,,
1787,,
1788,,
1789,,
1790,,
1791,,
1792,,
1793,,
1794,,
1795,,
1796,,
1797,,
1798,,
1799,,
1800,,
1801,,
1802,,
1803,,
1804,,
1805,,
1806,,
1807,,
1808,,
1809,,
1810,,
1811,,
1812,,
1813,,
1814,,
1815,,
1816,,
1817,,
1818,,
1819,,
1820,,
1821,,
1822,,
1823,,
1824,,
1825,,
1826,,
1827,,
1828,,
1829,,
1830,,
1831,,
1832,,
1833,,
1834,,
1835,,
1836,,
1837,,
1838,,
1839,,
1840,,
1841,,
1842,,
1843,,
1844,,
1845,,
1846,,
1847,,
1848,,
1849,,
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,,
1858,,
1859,,
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,,
1909,,
1910,,
1911,,
1912,,
1913,,
1914,,
1915,,
1916,,
1917,,
1918,,
1919,,
1920,,
1921,,
1922,,
1923,,
1924,,
1925,,
1926,,
1927,,
1928,,
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,,
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,,
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,,
1957,,
1958,,
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,38,10004
2001,42,10004
2002,36,10004
2003,158,10501
2004,,
2005,70,10402
2006,69,10402
2007,67,10402
2008,68,10402
2009,64,10401
2010,63,10401
2011,60,10401
2012,62,10401
2013,61,10401
2014,46,10004
2015,44,10004
2016,43,10004
2017,59,10002
2018,58,10002
2019,57,10002
2020,47,10002
2021,35,10004
2022,40,10004
2023,39,10004
2024,45,10004
2025,,
2026,,
2027,,
2028,,
2029,,
2030,333,
2031,130,10601
2032,185,10602
2033,186,10602
2034,181,10602
2035,179,10602
2036,187,10602
2037,184,10602
2038,6,10504
2039,5,10504
2040,173,10501
2041,162,10501
2042,172,10501
2043,176,10501
2044,177,10501
2045,174,10501
2046,168,10501
2047,,
2048,167,10501
2049,163,10501
2050,164,10501
2051,170,10501
2052,166,10501
2053,165,10501
2054,171,10501
2055,169,10501
2056,,
2057,,
2058,,
2059,,
2060,,
2061,,
2062,,
2063,,
2064,,
2065,,
2066,,
2067,,
2068,,
2069,,
2070,,
2071,,
2072,,
2073,,
2074,,
2075,,
2076,,
2077,,
2078,,
2079,,
2080,,
2081,,
2082,,
2083,,
2084,,
2085,,
2086,,
2087,,
2088,,
2089,,
2090,,
2091,,
2092,,
2093,,
2094,,
2095,,
2096,,
2097,,
2098,,
2099,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,,
2106,,
2107,,
2108,,
2109,,
2110,,
2111,,
2112,,
2113,,
2114,,
2115,,
2116,,
2117,,
2118,,
2119,,
2120,,
2121,,
2122,,
2123,,
2124,,
2125,,
2126,,
2127,,
2128,,
2129,,
2130,,
2131,,
2132,,
2133,,
2134,,
2135,,
2136,,
2137,,
2138,,
2139,,
2140,,
2141,,
2142,,
2143,,
2144,,
2145,,
2146,,
2147,,
2148,,
2149,,
2150,,
2151,,
2152,,
2153,,
2154,134,10502
2155,135,10502
2156,136,10502
2157,137,10502
2158,138,10502
2159,140,10502
2160,141,10502
2161,139,10502
2162,146,10502
2163,147,10502
2164,143,10502
2165,149,10502
2166,152,10502
2167,150,10502
2168,155,10502
2169,153,10502
2170,154,10502
2171,151,10502
2172,148,10502
2173,142,10502
2174,144,10502
2175,145,10502
2176,260,10702
2177,262,10702
2178,261,10702
2179,264,10702
2180,257,10703
2181,259,10703
2182,258,10703
2183,266,10701
2184,265,10701
2185,267,10704
2186,276,10705
2187,277,10705
2188,274,10704
2189,273,10704
2190,272,10704
2191,269,10704
2192,268,10704
2193,281,10706
2194,283,10706
2195,278,10705
2196,284,10706
2197,275,10704
2198,295,10709
2199,296,10709
2200,297,10709
2201,303,10710
2202,298,10709
2203,291,10707
2204,271,10704
2205,270,10704
2206,287,10707
2207,290,10707
2208,289,10707
2209,22,10606
2210,250,10605
2211,249,10605
2212,248,10605
2213,247,10605
2214,200,10603
2215,199,10603
2216,244,10604
2217,242,10604
2218,240,10604
2219,246,10604
2220,245,10604
2221,238,10604
2222,239,10604
2223,231,10604
2224,223,10603
2225,225,10604
2226,226,10604
2227,234,10604
2228,193,10603
2229,197,10603
2230,196,10603
2231,194,10603
2232,192,10603
2233,195,10603
2234,203,10603
2235,202,10603
2236,220,10603
2237,219,10603
2238,217,10603
2239,212,10603
2240,222,10603
2241,221,10603
2242,211,10603
2243,209,10603
2244,210,10603
2245,208,10603
2246,206,10603
2247,205,10603
2248,207,10603
2249,216,10603
2250,218,10603
2251,215,10603
2252,213,10603
2253,214,10603
2254,204,10603
2255,,
2256,,
2257,,
2258,,
2259,,
2260,,
2261,,
2262,,
2263,,
2264,,
2265,,
2266,,
2267,,
2268,,
2269,,
2270,,
2271,,
2272,,
2273,,
2274,,
2275,,
2276,,
2277,,
2278,,
2279,,
2280,,
2281,,
2282,,
2283,,
2284,,
2285,,
2286,,
2287,,
2288,,
2289,,
2290,,
2291,,
2292,,
2293,,
2294,,
2295,,
2296,,
2297,,
2298,,
2299,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2308,,
2309,,
2310,,
2311,,
2312,,
2313,,
2314,,
2315,,
2316,,
2317,,
2318,,
2319,,
2320,,
2321,,
2322,,
2323,,
2324,,
2325,,
2326,,
2327,,
2328,,
2329,,
2330,,
2331,,
2332,,
2333,,
2334,,
2335,,
2336,,
2337,,
2338,,
2339,,
2340,,
2341,,
2342,,
2343,,
2344,,
2345,,
2346,,
2347,,
2348,,
2349,,
2350,,
2351,,
2352,,
2353,,
2354,,
2355,,
2356,,
2357,,
2358,,
2359,,
2360,,
2361,,
2362,,
2363,,
2364,,
2365,,
2366,,
2367,,
2368,,
2369,,
2370,,
2371,,
2372,,
2373,,
2374,,
2375,,
2376,,
2377,,
2378,,
2379,,
2380,,
2381,,
2382,,
2383,,
2384,,
2385,,
2386,,
2387,,
2388,,
2389,,
2390,,
2391,,
2392,,
2393,,
2394,,
2395,,
2396,,
2397,,
2398,,
2399,,
2400,,
2401,,
2402,,
2403,,
2404,,
2405,,
2406,,
2407,,
2408,,
2409,,
2410,,
2411,,
2412,,
2413,,
2414,,
2415,,
2416,,
2417,,
2418,,
2419,,
2420,,
2421,,
2422,,
2423,,
2424,,
2425,,
2426,,
2427,,
2428,,
2429,,
2430,,
2431,,
2432,,
2433,,
2434,,
2435,,
2436,,
2437,,
2438,,
2439,,
2440,,
2441,,
2442,,
2443,,
2444,,
2445,,
2446,,
2447,,
2448,,
2449,,
2450,,
2451,,
2452,,
2453,,
2454,,
2455,,
2456,,
2457,,
2458,,
2459,,
2460,,
2461,,
2462,,
2463,,
2464,,
2465,,
2466,,
2467,,
2468,,
2469,,
2470,,
2471,,
2472,,
2473,,
2474,,
2475,,
2476,,
2477,,
2478,,
2479,,
2480,,
2481,,
2482,,
2483,,
2484,,
2485,,
2486,,
2487,,
2488,,
2489,,
2490,,
2491,,
2492,,
2493,,
2494,,
2495,,
2496,,
2497,,
2498,,
2499,,
2500,,
2501,,
2502,,
2503,,
2504,,
2505,,
2506,,
2507,,
2508,,
2509,,
2510,,
2511,,
2512,,
2513,,
2514,,
2515,,
2516,,
2517,,
2518,,
2519,,
2520,,
2521,,
2522,,
2523,,
2524,,
2525,,
2526,,
2527,,
2528,,
2529,,
2530,,
2531,,
2532,,
2533,,
2534,,
2535,,
2536,,
2537,,
2538,307,10710
2539,306,10710
2540,,
2541,,
2542,,
2543,,
2544,,
2545,,
2546,,
2547,,
2548,,
2549,,
2550,,
2551,,
2552,,
2553,,
2554,310,10713
2555,,
2556,299,10709
2557,,
2558,,
2559,,
2560,,
2561,,
2562,,
2563,,
2564,,
2565,,
2566,,
2567,,
2568,,
2569,,
2570,,
2571,,
2572,,
2573,,
2574,,
2575,,
2576,,
2577,,
2578,,
2579,,
2580,,
2581,,
2582,,
2583,,
2584,,
2585,,
2586,,
2587,,
2588,,
2589,,
2590,,
2591,,
2592,,
2593,,
2594,,
2595,,
2596,,
2597,,
2598,,
2599,,
2600,,
2601,,
2602,,
2603,,
2604,,
2605,,
2606,,
2607,,
2608,,
2609,,
2610,,
2611,,
2612,,
2613,,
2614,,
2615,,
2616,,
2617,,
2618,,
2619,,
2620,,
2621,,
2622,,
2623,,
2624,,
2625,,
2626,,
2627,,
2628,,
2629,,
2630,,
2631,,
2632,,
2633,,
2634,,
2635,,
2636,,
2637,,
2638,,
2639,,
2640,,
2641,,
2642,,
2643,,
2644,,
2645,,
2646,,
2647,,
2648,,
2649,,
2650,,
2651,,
2652,,
2653,,
2654,,
2655,,
2656,,
2657,,
2658,,
2659,,
2660,,
2661,,
2662,,
2663,,
2664,,
2665,,
2666,,
2667,,
2668,,
2669,,
2670,,
2671,,
2672,,
2673,,
2674,,
2675,,
2676,,
2677,,
2678,,
2679,,
2680,,
2681,,
2682,,
2683,,
2684,,
2685,,
